Sanctuary Name,Imageurl,Country,State/Region
The World Wildlife Fund,https://files.worldwildlife.org/wwfcmsprod/images/WWF_logo/cropped/676jyupk1x_WWF_25mm_no_tab.png,Various,N/A
The Whale Sanctuary Project,https://i.ebayimg.com/00/s/NjY4WDk2NA==/z/h0gAAOSwJ9FnMkQN/$_1.JPG?set_id=8800005007,USA,N/A
Yellowstone National Park,https://i.fbcd.co/products/original/usnp202204-6fe37db6e9786e3584c74ae6cdac006ffde7ed50787ae97323beae24ee4d6ac4.jpg,USA,"Wyoming, Montana, Idaho"
Galápagos National Park,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQwCrYhNOjOwmy5FRRzxnB5eqywMKXYoAeAdQ&s,Ecuador,Galápagos Islands
Maasai Mara National Reserve,"https://ih1.redbubble.net/image.4438018520.9858/raf,360x360,075,t,fafafa:ca443f4786.jpg",Kenya,Narok County
Chitwan National Park,https://i0.wp.com/www.chitwanjungleguides.com/wp-content/uploads/2019/02/Chitwan-National-Park-logo-min.png?fit=200%2C200&ssl=1,Nepal,Province No. 2
Banff National Park,https://i.pinimg.com/originals/b9/90/ea/b990eac79ae2b3b96eb5aa862dcc9475.jpg,Canada,Alberta
Corcovado National Park,"https://ih1.redbubble.net/image.831521891.8168/st,small,507x507-pad,600x600,f8f8f8.jpg",Costa Rica,Puntarenas
Yala National Park,https://flawlessjourneys.co.uk/wp-content/uploads/2023/10/Safari-in-Sri-Lanka-at-yala-national-park.jpg,Sri Lanka,Southern Province
Everglades National Park,https://i.fbcd.co/products/original/usnp202246-08711b014998df8c55e54db1e71be21ef027e05552106449ec8a39c87fd73fc8.jpg,USA,Florida
Kakadu National Park,https://play-lh.googleusercontent.com/Xlwwig4alCmMsH_rXHhXt1L7NccWT_yCdfvZOY80k5T1HahIwuaAWzERWV2Gd7IQ2w,Australia,Northern Territory
Madikwe Game Reserve,https://www.experiencemadikwe.com/files/stacks-image-e9c91b7.jpg,South Africa,North West Province
Bwindi Impenetrable National Park,https://www.bwindiforestnationalparkuganda.com/wp-content/uploads/2022/10/bwindilogo.png,Uganda,Western Region
Manu National Park,https://wildwatchperu.com/wp-content/uploads/2023/03/wwp-logo-transparente_pequeno.png,Peru,Madre de Dios
Snowdonia National Park,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRoLYW757vF-mIo32n4tyODMos6dSqUWiSlzw&s,United Kingdom,Wales
Tiritiri Matangi Open Sanctuary,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTlauqpeYJFrAYApH8m8xTk4_UkWcmYNCOrJA&s,New Zealand,Auckland Region
Kidepo Valley National Park,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSUHSVbMEG77KovQ8R1ONT1iVv6ykqPD2XWWQ&s,Uganda,Northern Region
Taman Negara National Park,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRzcN4lAf4QBPXdtucxDF2712BszTBWsAi10g&s,Malaysia,Pahang
Chobe National Park,https://cdn.travmedia.com/gallery/615706/615706_num1205477_585x585.jpg,Botswana,North-West District
Amboseli National Park,"https://ih1.redbubble.net/image.5003563026.1646/bg,f8f8f8-flat,750x,075,f-pad,750x1000,f8f8f8.jpg",Kenya,Kajiado County
Arenal Volcano National Park,"https://ih1.redbubble.net/image.4931757679.7784/flat,750x,075,f-pad,750x1000,f8f8f8.jpg",Costa Rica,Alajuela
Simien Mountains National Park,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS3FpC79arE5CMQGEQ9sHiURaOZoaggS566bg&s,Ethiopia,Amhara Region
Lahemaa National Park,https://1.bp.blogspot.com/-PBa5gTVftFA/X0nfrcZQbzI/AAAAAAAAdN8/PD0bWw74Nqkt0mtkyZxbjQbZeqTqnHbNwCLcBGAsYHQ/s1600/IMGP8508_970w.jpg,Estonia,Harju County
Plitvice Lakes National Park,https://media.licdn.com/dms/image/v2/C4D0BAQFX3bsiYTIIpQ/company-logo_200_200/company-logo_200_200/0/1631312858590?e=2147483647&v=beta&t=HdlcSTkZnvhy8YBsML4MCXdg4cp_56q3um4onT0ahuU,Croatia,Karlovac County
Aigüestortes i Estany de Sant Maurici National Park,https://travelzonaart.com/cdn/shop/products/il_fullxfull.5040915614_s3ru.jpg?v=1687929494&width=3000,Spain,Catalonia
Torres del Paine National Park,"https://ih1.redbubble.net/image.4786719206.3749/bg,f8f8f8-flat,750x,075,f-pad,750x1000,f8f8f8.jpg",Chile,Magallanes Region
Tierra del Fuego National Park,https://argentinien.de/wp-content/uploads/sites/24/2017/09/Argentinien_Patagonien_2010_JE_257_PANA_1070692-968x628.jpg,Argentina,Tierra del Fuego Province
Canaima National Park,"https://ih1.redbubble.net/image.1693271427.1833/st,small,507x507-pad,600x600,f8f8f8.jpg",Venezuela,Bolívar State
Borneo Rainforest,https://pbs.twimg.com/profile_images/1003567647068340225/PyBIATB3_400x400.jpg,Malaysia/Indonesia,Sabah (Malaysia) / Kalimantan (Indonesia)
Kgalagadi Transfrontier Park,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTyH8krs60InD4UPo6-vfREZLf4h2xYw8ixcg&s,Botswana/South Africa,Northern Cape
Rocky Mountain National Park,https://www.nps.gov/romo/learn/news/images/Centennial-Logo_4CP-2-cropped_3.jpg,USA,Colorado
Grand Teton National Park,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQHn8xwwjwlonceIvj7cIQ2X0X7UgAmZSPMNA&s,USA,Wyoming
Olympic National Park,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTMhkZZfD-8qQ4FP6yCNvbJpsvgF2mJlR0xvg&s,USA,Washington
Denali National Park,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTn7qoAu0pcUzhUgdcH0cNkWAc_aJlSHWJVrQ&s,USA,Alaska
Chernobyl Exclusion Zone,https://st2.depositphotos.com/4181801/10459/i/950/depositphotos_104593240-stock-photo-ukraine-chernobyl-exclusion-zone-2016.jpg,Ukraine,Kyiv Oblast
Danum Valley Conservation Area,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRfLB1xri3SEFiMQza6lfL7k-ZGcDXnwV_VLg&s,Malaysia,Sabah
Lantau Island Country Park,https://hkfiles.wordpress.com/wp-content/uploads/2014/01/img_1647.jpg?w=650,Hong Kong,Lantau Island
Oulanka National Park,"https://scandinavianoutdoor.imgix.net/dynamic/productimages/sizes/full/b0290803-d79c-43aa-aff1-f0b322ea9f8f.jpeg?w=1090&h=595&auto=compress,format&trim=auto&trim-sd=1",Finland,Northern Ostrobothnia
Los Glaciares National Park,"https://ih1.redbubble.net/image.5144604772.6737/bg,f8f8f8-flat,750x,075,f-pad,750x1000,f8f8f8.jpg",Argentina,Santa Cruz Province
Cayo Santiago (Monkey Island),https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Cayo_Santiago-chart.png/328px-Cayo_Santiago-chart.png,Puerto Rico,Caribbean
Connemara National Park,"https://ih1.redbubble.net/image.4089510174.2831/raf,360x360,075,t,fafafa:ca443f4786.jpg",Ireland,Galway
Killarney National Park,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRyKoLJlmFumrPHshutNuYLSF3BKMMDlBLJYQ&s,Ireland,Kerry
Glenveagh National Park,"https://ih1.redbubble.net/image.4964876183.9629/st,small,507x507-pad,600x600,f8f8f8.jpg",Ireland,Donegal
Ecrins National Park,"https://ih1.redbubble.net/image.2672085852.7730/raf,360x360,075,t,fafafa:ca443f4786.jpg",France,Auvergne-Rhône-Alpes
Mercantour National Park,"https://ih1.redbubble.net/image.2672143400.9238/flat,750x,075,f-pad,750x1000,f8f8f8.jpg",France,Provence-Alpes-Côte d'Azur
Sarek National Park,https://w7.pngwing.com/pngs/960/679/png-transparent-kosterhavet-national-park-sarek-national-park-farnebofjarden-national-park-padjelanta-national-park-pieljekaise-national-park-park-label-photography-logo.png,Sweden,Lapland
Vatnajökull National Park,"https://images.prismic.io/vatnajokulsthjodgardur/ca690189-a2be-4193-8d29-051501ce73ea_Vatnaj%C3%B6kuls%C3%BEj%C3%B3%C3%B0gar%C3%B0ur_logo_web.png?auto=compress,format",Iceland,Northeast Region
