Common Name,Country,Category,Taxonomic Group,Taxonomic Subgroup,Scientific Name,Year Last Documented,NY Listing Status,Federal Listing Status,State Conservation Rank,Global Conservation Rank,Distribution Status,Image Url
Comb Jellyfish,Worldwide (marine),Invertebrate,Cnidaria,Scyphozoa,Mnemiopsis leidyi,2021,Not Listed,Not Listed,S4,G5,Coastal and Open Ocean,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Invertebrate_montage_%282022%29.jpg/1200px-Invertebrate_montage_%282022%29.jpg
Comb-Crested Jacana,"Australia, Papua New Guinea",Bird,Aves,Gruiformes,Irediparra gallinacea,2021,Not Listed,Not Listed,S3,G4,Wetlands,https://live.staticflickr.com/65535/51980751292_38b3d98b76_b.jpg
Comet Moth,Madagascar,Insect,Insecta,Lepidoptera,Argema mittrei,2021,Not Listed,Not Listed,S2,G4,Tropical Forests,https://kellogggarden.com/wp-content/uploads/2016/04/Ladybug.jpg
Comfort Retriever,Worldwide,Mammal,Mammalia,Carnivora,Canis lupus familiaris (mix),2022,Not Listed,Not Listed,S4,G5,Domestic,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
Commerson Dolphin,Southern Hemisphere,Mammal,Mammalia,Cetacea,Cephalorhynchus commersonii,2021,Not Listed,Not Listed,S3,G4,Coastal Waters,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
Common Boa,Central/South America,Reptile,Reptilia,Squamata,Boa constrictor,2021,Not Listed,Not Listed,S3,G5,Forests and Grasslands,https://www.eurokidsindia.com/blog/wp-content/uploads/2023/10/fascinating-reptile-facts.jpg
Common Buzzard,"Europe, Asia",Bird,Aves,Accipitriformes,Buteo buteo,2021,Not Listed,Not Listed,S4,G5,"Forests, Fields",https://live.staticflickr.com/65535/51980751292_38b3d98b76_b.jpg
Common Caiman,Central/South America,Reptile,Reptilia,Crocodylia,Caiman crocodilus,2022,Not Listed,Not Listed,S3,G3,Freshwater and Marshlands,https://www.eurokidsindia.com/blog/wp-content/uploads/2023/10/fascinating-reptile-facts.jpg
Common Carp,"Asia, Europe",Fish,Actinopterygii,Cypriniformes,Cyprinus carpio,2021,Not Listed,Not Listed,S3,G5,Freshwater,https://www.thesprucepets.com/thmb/M22UH3-0kR74sgHT91kkUn4wKco=/3100x0/filters:no_upscale():strip_icc()/GettyImages-1413740339-5aea18fdc25b41039fa8dc91d687f527.jpg
Common Dolphin,Worldwide (marine),Mammal,Mammalia,Cetacea,Delphinus delphis,2021,Not Listed,Not Listed,S3,G4,Coastal and Open Ocean,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
Common European Adder,Europe,Reptile,Reptilia,Serpentes,Vipera berus,2021,Not Listed,Not Listed,S3,G5,"Woodlands, Grasslands",https://www.eurokidsindia.com/blog/wp-content/uploads/2023/10/fascinating-reptile-facts.jpg
Common Frog,"Europe, Asia",Amphibian,Amphibia,Anura,Rana temporaria,2021,Not Listed,Not Listed,S4,G5,Wetlands and Gardens,https://cdn.mos.cms.futurecdn.net/39CUYMP8vJqHAYGVzUghBX-1200-80.jpg
Common Furniture Beetle,Worldwide,Insect,Insecta,Coleoptera,Anobium punctatum,2022,Not Listed,Not Listed,S4,G5,Wood and Furniture,https://kellogggarden.com/wp-content/uploads/2016/04/Ladybug.jpg
Common Genet,"Europe, Africa",Mammal,Mammalia,Carnivora,Genetta genetta,2021,Not Listed,Not Listed,S3,G5,Woodlands,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
Common Goldeneye,Northern Hemisphere,Bird,Aves,Anatidae,Bucephala clangula,2021,Not Listed,Not Listed,S4,G5,Freshwater and Coastal,https://live.staticflickr.com/65535/51980751292_38b3d98b76_b.jpg
Common Grackle,North America,Bird,Aves,Icteridae,Quiscalus quiscula,2021,Not Listed,Not Listed,S4,G5,Urban and Agricultural,https://live.staticflickr.com/65535/51980751292_38b3d98b76_b.jpg
Common Green Magpie,Southeast Asia,Bird,Aves,Coraciiformes,Cissa chinensis,2021,Not Listed,Not Listed,S3,G4,Forests,https://live.staticflickr.com/65535/51980751292_38b3d98b76_b.jpg
Common Hippopotamus,Africa,Mammal,Mammalia,Artiodactyla,Hippopotamus amphibius,2021,Not Listed,Vulnerable,S2,G4,Rivers and Swamps,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
Common House Spider,Worldwide,Insect,Arachnida,Araneae,Parasteatoda tepidariorum,2021,Not Listed,Not Listed,S4,G5,Urban and Rural Areas,https://kellogggarden.com/wp-content/uploads/2016/04/Ladybug.jpg
Common Kingfisher,"Europe, Asia",Bird,Aves,Coraciiformes,Alcedo atthis,2021,Not Listed,Not Listed,S3,G5,Widespread,https://live.staticflickr.com/65535/51980751292_38b3d98b76_b.jpg
Common Lizard,"Europe, Asia",Reptile,Reptilia,Lacertilia,Zootocaerus viviparus,2020,Not Listed,Not Listed,S4,G5,Widespread,https://www.eurokidsindia.com/blog/wp-content/uploads/2023/10/fascinating-reptile-facts.jpg
Common Loon,North America,Bird,Aves,Gaviiformes,Gavia immer,2021,Not Listed,Not Listed,S4,G5,Coastal and Freshwater,https://live.staticflickr.com/65535/51980751292_38b3d98b76_b.jpg
Common Newt,"Europe, Asia",Amphibian,Amphibia,Urodela,Lissotriton vulgaris,2021,Not Listed,Not Listed,S5,G5,Widespread,https://cdn.mos.cms.futurecdn.net/39CUYMP8vJqHAYGVzUghBX-1200-80.jpg
Common Octopus,Worldwide,Mollusk,Cephalopoda,Octopoda,Octopus vulgaris,2021,Not Listed,Not Listed,S3,G5,Coastal,https://cdn.pixabay.com/video/2023/06/30/169471-841382876_tiny.jpg
Common Palm Civet,Asia,Mammal,Mammalia,Carnivora,Paradoxurus hermaphroditus,2022,Not Listed,Not Listed,S4,G4,Tropical Forests,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
Common Raven,Worldwide,Bird,Aves,Passeriformes,Corvus corax,2021,Not Listed,Not Listed,S5,G5,Widespread,https://live.staticflickr.com/65535/51980751292_38b3d98b76_b.jpg
Common Seal,North Atlantic,Mammal,Mammalia,Pinnipedia,Phoca vitulina,2021,Not Listed,Not Listed,S4,G4,Coastal,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
Common Spotted Cuscus,Papua New Guinea,Mammal,Mammalia,Diprotodontia,Spilocuscus maculatus,2021,Not Listed,Not Listed,S3,G4,Endemic,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
Common Toad,"Europe, Asia",Amphibian,Amphibia,Anura,Bufo bufo,2020,Not Listed,Not Listed,S4,G5,Widespread,https://cdn.mos.cms.futurecdn.net/39CUYMP8vJqHAYGVzUghBX-1200-80.jpg
Common Wasp,Worldwide,Insect,Insecta,Hymenoptera,Vespula vulgaris,2021,Not Listed,Not Listed,S5,G5,Widespread,https://kellogggarden.com/wp-content/uploads/2016/04/Ladybug.jpg
Common Yellowthroat,North America,Bird,Aves,Passeriformes,Geothlypis trichas,2021,Not Listed,Not Listed,S4,G5,Widespread,https://live.staticflickr.com/65535/51980751292_38b3d98b76_b.jpg
Compsognathus,Prehistoric,Dinosaur,Reptilia,Saurischia,Compsognathus longipes,N/A,Not Listed,Not Listed,N/A,G1 (extinct),Fossil,https://cf-img-a-in.tosshub.com/sites/visualstory/wp/2024/07/Dinosaur-3.jpeg?size=*:911
Conch,Worldwide,Mollusk,Gastropoda,Heterobranchia,Strombus gigas,2021,Not Listed,Not Listed,S3,G4,Coastal,https://cdn.pixabay.com/video/2023/06/30/169471-841382876_tiny.jpg
Condor,Americas,Bird,Aves,Accipitriformes,Gymnogyps californianus,2021,Endangered,Endangered,S1,G3,Limited Range,https://live.staticflickr.com/65535/51980751292_38b3d98b76_b.jpg
Cone Snail,Tropical Regions,Mollusk,Gastropoda,Caenogastropoda,Conus spp.,2021,Not Listed,Not Listed,S3,G4,Marine,https://cdn.pixabay.com/video/2023/06/30/169471-841382876_tiny.jpg
Conger Eel,Worldwide,Fish,Actinopterygii,Anguilliformes,Conger conger,2021,Not Listed,Not Listed,S3,G5,Coastal,https://www.thesprucepets.com/thmb/M22UH3-0kR74sgHT91kkUn4wKco=/3100x0/filters:no_upscale():strip_icc()/GettyImages-1413740339-5aea18fdc25b41039fa8dc91d687f527.jpg
Congo Snake,Africa,Reptile,Reptilia,Serpentes,Python sebae,2022,Not Listed,Not Listed,S3,G4,Endemic,https://www.eurokidsindia.com/blog/wp-content/uploads/2023/10/fascinating-reptile-facts.jpg
Conure,Americas,Bird,Aves,Psittaciformes,Aratinga spp.,2021,Not Listed,Not Listed,S4,G4,Tropical Regions,https://live.staticflickr.com/65535/51980751292_38b3d98b76_b.jpg
Cookiecutter Shark,Tropical Regions,Fish,Chondrichthyes,Elasmobranchii,Isistius brasiliensis,2021,Not Listed,Not Listed,S4,G4,Tropical and Subtropical,https://www.thesprucepets.com/thmb/M22UH3-0kR74sgHT91kkUn4wKco=/3100x0/filters:no_upscale():strip_icc()/GettyImages-1413740339-5aea18fdc25b41039fa8dc91d687f527.jpg
Cooper’s Hawk,North America,Bird,Aves,Accipitriformes,Accipiter cooperii,2021,Not Listed,Not Listed,S4,G5,Widespread,https://live.staticflickr.com/65535/51980751292_38b3d98b76_b.jpg
Coot,Worldwide,Bird,Aves,Gruiformes,Fulica atra,2021,Not Listed,Not Listed,S5,G5,Wetlands,https://live.staticflickr.com/65535/51980751292_38b3d98b76_b.jpg
Copepods,Worldwide,Invertebrate,Crustacea,Maxillopoda,Copepoda spp.,2021,Not Listed,Not Listed,S3,G5,Marine and Freshwater,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Invertebrate_montage_%282022%29.jpg/1200px-Invertebrate_montage_%282022%29.jpg
Copperhead,North America,Reptile,Reptilia,Serpentes,Agkistrodon contortrix,2021,Not Listed,Not Listed,S4,G5,Eastern United States,https://www.eurokidsindia.com/blog/wp-content/uploads/2023/10/fascinating-reptile-facts.jpg
Copperhead Snake,North America,Reptile,Reptilia,Serpentes,Agkistrodon contortrix,2021,Not Listed,Not Listed,S4,G5,Eastern United States,https://www.eurokidsindia.com/blog/wp-content/uploads/2023/10/fascinating-reptile-facts.jpg
Coral,Worldwide,Invertebrate,Cnidaria,Anthozoa,Various species,2021,Not Listed,Not Listed,S3,G4,Marine,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Invertebrate_montage_%282022%29.jpg/1200px-Invertebrate_montage_%282022%29.jpg
Coral Snake,Americas,Reptile,Reptilia,Serpentes,Micrurus spp.,2021,Not Listed,Not Listed,S2,G4,Americas,https://www.eurokidsindia.com/blog/wp-content/uploads/2023/10/fascinating-reptile-facts.jpg
Corella,Australia,Bird,Aves,Psittaciformes,Cacatua galerita,2021,Not Listed,Not Listed,S3,G4,Endemic,https://live.staticflickr.com/65535/51980751292_38b3d98b76_b.jpg
Corgidor,USA,Dog,Mammalia,Carnivora,Crossbreed (Corgi x Labrador),2022,Not Listed,Not Listed,S4,G5,Domestic,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR82JnIsTofLGG4O4_3JfbfhL4xCsCZjF0JNFzV391E5KIFZrY7FcMKuVBx9lO3NOslW0c&usqp=CAU
Corgie,USA,Dog,Mammalia,Carnivora,Canis lupus familiaris (Corgi),2022,Not Listed,Not Listed,S4,G5,Domestic,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR82JnIsTofLGG4O4_3JfbfhL4xCsCZjF0JNFzV391E5KIFZrY7FcMKuVBx9lO3NOslW0c&usqp=CAU
Corgipoo,USA,Dog,Mammalia,Carnivora,Crossbreed (Corgi x Poodle),2022,Not Listed,Not Listed,S4,G5,Domestic,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR82JnIsTofLGG4O4_3JfbfhL4xCsCZjF0JNFzV391E5KIFZrY7FcMKuVBx9lO3NOslW0c&usqp=CAU
Corman Shepherd,USA,Dog,Mammalia,Carnivora,Crossbreed (Corgi x German Shepherd),2022,Not Listed,Not Listed,S4,G5,Domestic,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR82JnIsTofLGG4O4_3JfbfhL4xCsCZjF0JNFzV391E5KIFZrY7FcMKuVBx9lO3NOslW0c&usqp=CAU
Cormorant,Worldwide,Bird,Aves,Pelecaniformes,Phalacrocorax spp.,2021,Not Listed,Not Listed,S3,G5,Coastal and Freshwater,https://live.staticflickr.com/65535/51980751292_38b3d98b76_b.jpg
Corn Earworm,North America,Insect,Insecta,Lepidoptera,Helicoverpa zea,2022,Not Listed,Not Listed,S4,G5,Agricultural Pests,https://kellogggarden.com/wp-content/uploads/2016/04/Ladybug.jpg
Corn Rex Cat,USA,Mammal,Mammalia,Carnivora,Felis catus (Cornish Rex),2022,Not Listed,Not Listed,S4,G5,Domestic,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
Corn Snake,USA,Reptile,Reptilia,Squamata,Pantherophis guttatus,2021,Not Listed,Not Listed,S4,G5,North America,https://www.eurokidsindia.com/blog/wp-content/uploads/2023/10/fascinating-reptile-facts.jpg
Corncrake,"Europe, Asia",Bird,Aves,Gruiformes,Crex crex,2021,Endangered,Not Listed,S2,G4,Migratory,https://live.staticflickr.com/65535/51980751292_38b3d98b76_b.jpg
Cornish Rex,"UK, USA",Mammal,Mammalia,Carnivora,Felis catus (Cornish Rex),2022,Not Listed,Not Listed,S4,G5,Domestic,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
Cory Catfish,North America,Fish,Actinopterygii,Siluriformes,Corydoras spp.,2021,Not Listed,Not Listed,S4,G5,Freshwater,https://www.thesprucepets.com/thmb/M22UH3-0kR74sgHT91kkUn4wKco=/3100x0/filters:no_upscale():strip_icc()/GettyImages-1413740339-5aea18fdc25b41039fa8dc91d687f527.jpg
Coryphodon,Prehistoric,Mammal,Mammalia,Perissodactyla,Coryphodon spp.,N/A,Not Listed,Not Listed,N/A,G1 (extinct),Fossil,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
Cosmic Caterpillar,North America,Insect,Insecta,Lepidoptera,Unknown (Cosmic Caterpillar),N/A,Not Listed,Not Listed,N/A,G5,Limited Range,https://kellogggarden.com/wp-content/uploads/2016/04/Ladybug.jpg
Costa’s Hummingbird,North America,Bird,Aves,Apodiformes,Calypte costae,2022,Not Listed,Not Listed,S4,G4,Migratory,https://live.staticflickr.com/65535/51980751292_38b3d98b76_b.jpg
Cotinga,Central/South America,Bird,Aves,Passeriformes,Cotinga spp.,2021,Not Listed,Not Listed,S3,G5,Tropical,https://live.staticflickr.com/65535/51980751292_38b3d98b76_b.jpg
Coton De Tulear,Madagascar,Dog,Mammalia,Carnivora,Cynomys leucurus (Coton de Tulear),2022,Not Listed,Not Listed,S4,G5,Domestic,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR82JnIsTofLGG4O4_3JfbfhL4xCsCZjF0JNFzV391E5KIFZrY7FcMKuVBx9lO3NOslW0c&usqp=CAU
Cotton Rat,USA,Mammal,Mammalia,Rodentia,Sigmodon hispidus,2021,Not Listed,Not Listed,S3,G5,Limited Range,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
Cotton-Top Tamarin,South America,Mammal,Mammalia,Primates,Saguinus oedipus,2022,Not Listed,Endangered,S1,G2,Limited Range,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
Cottonmouth,USA,Reptile,Reptilia,Squamata,Agkistrodon piscivorus,2021,Not Listed,Not Listed,S4,G5,Coastal and Freshwater,https://www.eurokidsindia.com/blog/wp-content/uploads/2023/10/fascinating-reptile-facts.jpg
Cottonmouth Snake,USA,Reptile,Reptilia,Squamata,Agkistrodon piscivorus,2021,Not Listed,Not Listed,S4,G5,Coastal and Freshwater,https://www.eurokidsindia.com/blog/wp-content/uploads/2023/10/fascinating-reptile-facts.jpg
Coues Deer,USA,Mammal,Mammalia,Artiodactyla,Odocoileus virginianus couesi,2021,Not Listed,Not Listed,S4,G5,North America,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
Cougar,North America,Mammal,Mammalia,Carnivora,Puma concolor,2021,Not Listed,Not Listed,S3,G4,North America,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
Courser,"Africa, Asia",Bird,Aves,Charadriiformes,Cursorius spp.,2021,Not Listed,Not Listed,S3,G5,Open Landscapes,https://live.staticflickr.com/65535/51980751292_38b3d98b76_b.jpg
Cow,Worldwide,Mammal,Mammalia,Artiodactyla,Bos taurus,2022,Not Listed,Not Listed,S4,G5,Domestic,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
Cow Reticulated Python,Africa,Reptile,Reptilia,Squamata,Malayopython reticulatus,2022,Not Listed,Not Listed,S4,G4,Tropical,https://www.eurokidsindia.com/blog/wp-content/uploads/2023/10/fascinating-reptile-facts.jpg
Coydog,North America,Mammal,Mammalia,Carnivora,Canis latrans x Canis lupus,2021,Not Listed,Not Listed,S4,G5,Domestic,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
Coyote,North America,Mammal,Mammalia,Carnivora,Canis latrans,2021,Not Listed,Not Listed,S4,G5,Widespread,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
Coypu,"South America, Europe",Mammal,Mammalia,Rodentia,Myocastor coypus,2021,Not Listed,Not Listed,S2,G5,Invasive in some areas,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
Crab,Global,Invertebrate,Arthropoda,Malacostraca,Brachyura (various species),2021,Not Listed,Not Listed,S3,G5,Coastal and freshwater,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Invertebrate_montage_%282022%29.jpg/1200px-Invertebrate_montage_%282022%29.jpg
Crab Plover,"Africa, Asia",Bird,Aves,Charadriiformes,Dromas ardeola,2021,Not Listed,Not Listed,S3,G4,Coastal regions,https://live.staticflickr.com/65535/51980751292_38b3d98b76_b.jpg
Crab Spider,Global,Insect,Arachnida,Araneae,Thomisidae (various species),2021,Not Listed,Not Listed,S3,G5,Widespread,https://kellogggarden.com/wp-content/uploads/2016/04/Ladybug.jpg
Crab-Eating Fox,Central and South America,Mammal,Mammalia,Carnivora,Cerdocyon thous,2021,Not Listed,Not Listed,S3,G4,Limited Range,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
Crab-Eating Macaque,Southeast Asia,Mammal,Mammalia,Primates,Macaca fascicularis,2021,Not Listed,Not Listed,S2,G4,Widespread,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
Crabeater Seal,Antarctic regions,Mammal,Mammalia,Carnivora,Lobodon carcinophaga,2021,Not Listed,Not Listed,S3,G5,Antarctic regions,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
Crane,Worldwide,Bird,Aves,Gruiformes,Grus spp. (various species),2021,Not Listed,Not Listed,S3,G4,Wetlands and grasslands,https://live.staticflickr.com/65535/51980751292_38b3d98b76_b.jpg
Crane Fly,Global,Insect,Arthropoda,Diptera,Tipulidae (various species),2021,Not Listed,Not Listed,S3,G5,Widespread,https://kellogggarden.com/wp-content/uploads/2016/04/Ladybug.jpg
Crappie Fish,North America,Fish,Actinopterygii,Perciformes,Pomoxis nigromaculatus,2021,Not Listed,Not Listed,S4,G5,Freshwater,https://www.thesprucepets.com/thmb/M22UH3-0kR74sgHT91kkUn4wKco=/3100x0/filters:no_upscale():strip_icc()/GettyImages-1413740339-5aea18fdc25b41039fa8dc91d687f527.jpg
Crayfish,Global,Invertebrate,Arthropoda,Decapoda,Astacidae (various species),2021,Not Listed,Not Listed,S3,G5,Freshwater,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Invertebrate_montage_%282022%29.jpg/1200px-Invertebrate_montage_%282022%29.jpg
Crested Gecko,New Caledonia,Reptile,Reptilia,Squamata,Correlophus ciliatus,2021,Not Listed,Not Listed,S3,G5,Endemic,https://www.eurokidsindia.com/blog/wp-content/uploads/2023/10/fascinating-reptile-facts.jpg
Crested Penguin,Antarctic regions,Bird,Aves,Sphenisciformes,Eudyptes schlegeli,2021,Not Listed,Not Listed,S2,G4,Antarctic regions,https://live.staticflickr.com/65535/51980751292_38b3d98b76_b.jpg
Crested Tit,Europe,Bird,Aves,Passeriformes,Lophophanes cristatus,2021,Not Listed,Not Listed,S3,G5,Forests,https://live.staticflickr.com/65535/51980751292_38b3d98b76_b.jpg
Cricket,Worldwide,Insect,Arthropoda,Orthoptera,Gryllidae (various species),2021,Not Listed,Not Listed,S3,G5,Widespread,https://kellogggarden.com/wp-content/uploads/2016/04/Ladybug.jpg
Croatian Sheepdog,Croatia,Mammal,Mammalia,Carnivora,Canis aureus,2021,Not Listed,Not Listed,S3,G5,Domestic,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
Crocodile,Worldwide,Reptile,Reptilia,Crocodylia,Crocodylus spp. (various species),2021,Not Listed,Not Listed,S2,G4,Wetlands,https://www.eurokidsindia.com/blog/wp-content/uploads/2023/10/fascinating-reptile-facts.jpg
Crocodile Monitor,Papua New Guinea,Reptile,Reptilia,Squamata,Varanus salvadorii,2021,Not Listed,Not Listed,S2,G4,Endemic,https://www.eurokidsindia.com/blog/wp-content/uploads/2023/10/fascinating-reptile-facts.jpg
Crocodile Shark,Tropical waters,Fish,Chondrichthyes,Elasmobranchii,Pseudocarcharias kamoharai,2021,Not Listed,Not Listed,S3,G5,Coastal waters,https://www.thesprucepets.com/thmb/M22UH3-0kR74sgHT91kkUn4wKco=/3100x0/filters:no_upscale():strip_icc()/GettyImages-1413740339-5aea18fdc25b41039fa8dc91d687f527.jpg
Crocodylomorph,Prehistoric,Reptile,Reptilia,Archosauria,N/A,N/A,Not Listed,Not Listed,N/A,G1 (extinct),Fossil,https://www.eurokidsindia.com/blog/wp-content/uploads/2023/10/fascinating-reptile-facts.jpg
Cross Fox,North America,Mammal,Mammalia,Carnivora,Vulpes vulpes (var. corsac),2021,Not Listed,Not Listed,S3,G4,Limited Range,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
Cross River Gorilla,"Nigeria, Cameroon",Mammal,Mammalia,Primates,Gorilla gorilla diehli,2021,Endangered,Critically Endangered,S1,G1,Restricted Range,https://www.noaa.gov/sites/default/files/styles/landscape_width_1275/public/legacy/image/2019/Jun/PHOTO%20-%20seal%20rehabbed%20-%2004262016%20-%20marine%20mammals%20of%20maine%20-%20LANDSCAPE.jpg
Crow,Worldwide,Bird,Aves,Corvidae,Corvus spp. (various species),2021,Not Listed,Not Listed,S3,G5,Widespread,https://live.staticflickr.com/65535/51980751292_38b3d98b76_b.jpg
Crown of Light Soft Coral,Coral reefs,Invertebrate,Cnidaria,Anthozoa,Dendronephthya spp.,2021,Not Listed,Not Listed,S3,G5,Coral reefs,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Invertebrate_montage_%282022%29.jpg/1200px-Invertebrate_montage_%282022%29.jpg
Crucian Carp,"Europe, Asia",Fish,Actinopterygii,Cypriniformes,Carassius carassius,2021,Not Listed,Not Listed,S4,G5,Freshwater,https://www.thesprucepets.com/thmb/M22UH3-0kR74sgHT91kkUn4wKco=/3100x0/filters:no_upscale():strip_icc()/GettyImages-1413740339-5aea18fdc25b41039fa8dc91d687f527.jpg
Cryolophosaurus,Prehistoric,Dinosaur,Reptilia,Archosauria,Cryolophosaurus ellioti,N/A,Not Listed,Not Listed,N/A,G1 (extinct),Fossil,https://cf-img-a-in.tosshub.com/sites/visualstory/wp/2024/07/Dinosaur-3.jpeg?size=*:912
Cuban Boa,Cuba,Reptile,Reptilia,Serpentes,Epicrates anguliferus,2021,Not Listed,Not Listed,S2,G4,Endemic,https://www.eurokidsindia.com/blog/wp-content/uploads/2023/10/fascinating-reptile-facts.jpg
Cuban Cockroach,Cuba,Insect,Insecta,Blattodea,Blatta cubana,2020,Not Listed,Not Listed,S3,G5,Endemic,https://kellogggarden.com/wp-content/uploads/2016/04/Ladybug.jpg
